1340015106206392321,@meetnpatatas @RealMattCouch @Progressivemagi So a bit like the virus then. Yet somehow we all have to give up living to protect people who would likely die in the next few months anyway. It's ok for them to die from the vaccine but not from covid is the message that sends,More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,agree

1340570906662322176,"@armyveteran13 I said when the virus was first declared that it would have something to do with Agenda 21/30 &amp; population reduction...&amp; here we are with some ""covid"" vaccine that has leaks on causing infertility &amp; miscarriages being forced upon us.  ZERO trust in anything govts tell us.",The COVID-19 vaccine causes infertility or miscarriages in women.,agree

1344724371865182208,"Bombshell Interview With Del Bigtree: COVID Vaccine Could Make The Virus Far More Deadly, Leave Women Infertile URL",The COVID-19 vaccine causes infertility or miscarriages in women.,agree

1345709249469546496,"YOLO- berichtgeving:   ""COVID Vaccine Caused 4 People to Develop Bell's Palsy,    News Declares it False, Then Admits it Happened"" -vidmax-  URL",The COVID-19 vaccine causes Bell's palsy.,agree

1344586458791723008,"@FatEmperor Natural immunity, I build up my body for 19 year natural immunity no medication for now maybe to be forced for a covid vaccine, murders!",Natural COVID-19 immunity is better than immunity derived from a COVID-19 vaccine.,agree

1344656327684071426,"Do not Take the Vaccine, I repeat Do Not Take The vaccine 💉 URL QT: ""When your DNA sequence is edited, your personality changes. This is the core connection btw the human soul and human body. If you change your DNA, it is irreversible and you are altered for all your life.  This is what the so-called Covid Vaccines do to your body.""",RNA alters a person's DNA when taking the COVID-19 vaccine.,agree

1344722715790471175,"@DrTomFrieden The COVID vaccine has more risk than the virus. To create a vaccine, that will inevitably have greater side effects than the actual illness, for a virus that is only terminal to 1% of the population, is the epitome of stupidity.",More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,not_relevant

1344722715790471175,"@DrTomFrieden The COVID vaccine has more risk than the virus. To create a vaccine, that will inevitably have greater side effects than the actual illness, for a virus that is only terminal to 1% of the population, is the epitome of stupidity.","There are severe side effects of the COVID-19 vaccines, worse than having the virus.",agree

1345112521376583681,"And since I have the space, your heresy about natural infection on the JRE podcast was wrong. Natural infection is not better than the vaccine. That is a scientific consensus. You really don't understand the science.   URL: ""'Natural Immunity' From Covid Is Not Safer Than a Vaccine""",Natural COVID-19 immunity is better than immunity derived from a COVID-19 vaccine.,disagree

1340079567638319105,The COVID-19 vaccine is spicy.,The COVID-19 vaccine causes infertility or miscarriages in women.,not_relevant

1340079567638319105,The COVID-19 vaccine is spicy.,The COVID-19 vaccine causes Bell's palsy.,not_relevant

1340612174843097088,After taking the covid-19 vaccine URL,RNA alters a person's DNA when taking the COVID-19 vaccine.,not_relevant

1340023157672054788,What are the side effects of the COVID vaccine?   1-You don't die.,"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",disagree

1340023157672054788,What are the side effects of the COVID vaccine?   1-You don't die.,More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,disagree

1341027164980826113,Wait so apparently you're supposed to get sick if you get the COVID vaccine..,RNA alters a person's DNA when taking the COVID-19 vaccine.,not_relevant

1345211664367423494,"Couple of articles from one of my favourite science blogs on the two major risks of the corona vaccine. Whether these risks turn out to be reality won't be known for several years hence the utter recklessness of rushing it through  URL: ""Is a Coronavirus Vaccine a Ticking Time Bomb?""  URL: ""Will an RNA Vaccine Permanently Alter My DNA?""",RNA alters a person's DNA when taking the COVID-19 vaccine.,no_stance

1344571646271778816,"@FinallyAutistic @Ibroxgal @thehilton_77 @ProfKarolSikora Its not the point. People die from vaccines, people have negative reactions to vaccines.   Its laughable. People are recieving the vaccine then they're testing them and amazingly after receiving a vaccine for coronavirus they're positive for coronavirus",More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,no_stance

1340515806736769024,"@EnglishRoseNZL @ColbyOrton6 @dps5400 @nypost If there is doubt about immunity from natural infection then there would be doubt from vaccine immunity. Either way, there is evidence that natural immunity could last for years just like SARS. URL: ""Immunity to the Coronavirus May Last Years, New Data Hint""",Natural COVID-19 immunity is better than immunity derived from a COVID-19 vaccine.,no_stance

1343557952637177857,"The covid vaccine contains a Fitbit microchip and if you don't reach 10,000 steps a day it injects the virus into your bloodstream",The COVID-19 vaccine was developed to control the general population either through microchip tracking or nanotransducers in our brains.,not_relevant

1345539449690591232,"So a worker at PetFood Express informed me that the Covid Vaccine alters your DNA. She said a health professional told her that. I assured her that the mRNA 100% does NOT enter the nucleus of the cell, and thus cannot alter your DNA. #COVIDー19 #Infowars #misinformation",RNA alters a person's DNA when taking the COVID-19 vaccine.,disagree

1341036546120675329,"Have they reached a conclusion of the morality of the pedophilia yet? URL: ""Vatican tells Catholics it's 'morally acceptable' to get COVID-19 vaccines based on research using fetal tissue from abortions""",The COVID-19 vaccine contains tissue from aborted fetuses.,not_relevant

1344681397823410176,the covid vaccine knocks you out yall😪,The COVID-19 vaccine causes infertility or miscarriages in women.,not_relevant

1344681397823410176,the covid vaccine knocks you out yall😪,The COVID-19 vaccine causes Bell's palsy.,not_relevant

1345054679298879488,"I just want to make sure people know the Covid vaccine don't alter your DNA.  It's RNA (or mRNA) based, which molecular structure is different, as is its function.  It's basically the blueprint for the death star given to the immune system so they know where to pew pew.",RNA alters a person's DNA when taking the COVID-19 vaccine.,disagree

1344518400073203712,"INDEED IT IS URL QT: ""THE COVID 19 VACCINE IS AN ACT OF WAR DESIGNED TO CONTROL POPULATION AND GENETICALLY MODIFY HUMANS  For the first time in the history of vaccination, the so-called last generation mRNA vaccines intervene directly in the genetic material #Chimera #CovidVaccines""",The COVID-19 vaccine was developed to control the general population either through microchip tracking or nanotransducers in our brains.,not_relevant

1343733524235485185,"""the covid vaccine will make u infertile"" good.",The COVID-19 vaccine causes infertility or miscarriages in women.,agree

1344005591346282496,"People would rather die than stop using fillers in LA URL QT: ""Some patients with cosmetic facial fillers could experience side effects with the Moderna COVID-19 vaccine, according to an FDA committee URL: ""Patients with cosmetic facial fillers may experience side effects with Moderna vaccine: FDA""""",More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,not_relevant

